institution_name,type,address,city,state,zip,county,phone,website
Bowling Green State University,Main Campus,220 McFall Ctr,Bowling Green,OH,43403,WOOD,(419) 372-2531,www.bgsu.edu
Central State University,Main Campus,1400 Brush Row Rd,Wilberforce,OH,45384-1004,GREENE,(937) 376-6011,www.centralstate.edu
Cleveland State University,Main Campus,2121 Euclid Avenue,Cleveland,OH,44115-2214,CUYAHOGA,(216) 687-2000,www.csuohio.edu
Kent State University,Main Campus,Executive Office 2nd Floor Library,Kent,OH,44242-0001,PORTAGE,(330) 672-3000,www.kent.edu
Miami University,Main Campus,501 East High St,Oxford,OH,45056,BUTLER,(513) 529-1809,www.miamioh.edu
Northeast Ohio Medical University,Main Campus,4209 State Route 44,Rootstown,OH,44272-0095,PORTAGE,(800) 686-2511,www.neomed.edu
Ohio University,Main Campus,020 Chubb Hall,Athens,OH,45701-2979,ATHENS,(740) 593-1000,www.ohio.edu
Shawnee State University,Main Campus,940 Second St,Portsmouth,OH,45662,SCIOTO,(740) 354-3205,www.shawnee.edu
The Ohio State University,Main Campus,190 N. Oval Mall,Columbus,OH,43210,FRANKLIN,(614) 292-6446,www.osu.edu
The University of Akron,Main Campus,302 Buchtel Common,Akron,OH,44325-4702,SUMMIT,(330) 972-7111,www.uakron.edu
The University of Toledo,Main Campus,2801 W Bancroft,Toledo,OH,43606-3390,LUCAS,(419) 530-4636,www.utoledo.edu
University of Cincinnati,Main Campus,2624 Clifton Avenue,Cincinnati,OH,45221-0063,HAMILTON,(513) 556-6000,www.uc.edu
Wright State University,Main Campus,3640 Colonel Glenn Highway,Dayton,OH,45435-0001,MONTGOMERY,(937) 775-3333,www.wright.edu
Youngstown State University,Main Campus,One University Plaza,Youngstown,OH,44555-0001,MAHONING,(877) 468-6978,www.ysu.edu
BGSU - Firelands,Regional Campus,One University Drive,Huron,OH,44839-9791,ERIE,(419) 433-5560,www.firelands.bgsu.edu
KSU - Ashtabula,Regional Campus,3300 Lake Road West,Ashtabula,OH,44004,ASHTABULA,(440) 964-3322,www.ashtabula.kent.edu
KSU - East Liverpool,Regional Campus,400 E 4th St,East Liverpool,OH,43920,COLUMBIANA,(330) 385-3805,www.eliv.kent.edu
KSU - Geauga,Regional Campus,14111 Claridon-Troy Rd,Burton,OH,44021,GEAUGA,(440) 834-4187,www.geauga.kent.edu
KSU - Salem,Regional Campus,2491 State Route 45 South,Salem,OH,44460,COLUMBIANA,(330) 332-0361,www.salem.kent.edu
KSU - Stark,Regional Campus,6000 Frank Ave NW,Canton,OH,44720-7599,STARK,(330) 499-9600,www.stark.kent.edu
KSU - Trumbull,Regional Campus,4314 Mahoning Ave N.W.,Warren,OH,44483,TRUMBULL,(330) 847-0571,www.trumbull.kent.edu
KSU - Tuscarawas,Regional Campus,330 University Dr N.E.,New Philadelphia,OH,44663-9403,TUSCARAWAS,(330) 339-3391,www.tusc.kent.edu
MU - Hamilton,Regional Campus,1601 University Blvd,Hamilton,OH,45011,BUTLER,(513) 785-3000,www.ham.muohio.edu
MU - Middletown,Regional Campus,4200 E University Blvd,Middletown,OH,45042,BUTLER,(513) 727-3200,www.mid.muohio.edu
OU - Chillicothe,Regional Campus,101 University Drive,Chillicothe,OH,45601-0629,ROSS,(740) 774-7200,www.chillicothe.ohiou.edu
OU - Eastern,Regional Campus,45425 National Rd W,Saint Clairsville,OH,43950,BELMONT,(740) 695-1720,www.eastern.ohiou.edu
OU - Lancaster,Regional Campus,1570 Granville Pike,Lancaster,OH,43130-1037,FAIRFIELD,(740) 654-6711,www.lancaster.ohiou.edu
OU - Southern,Regional Campus,1804 Liberty Ave,Ironton,OH,45638,LAWRENCE,(740) 533-4600,www.southern.ohiou.edu
OU - Zanesville,Regional Campus,1425 Newark Rd,Zanesville,OH,43701,MUSKINGUM,(740) 453-0762,www.zanesville.ohiou.edu
OSU Agricultural Technical Institute,Regional Campus,1328 Dover Rd,Wooster,OH,44691-4000,WAYNE,(330) 287-1330,www.ati.osu.edu
